DocumentNumber,JournalDate,PostedToGL,AccountCode,AccountDescription,OrgCode,OrgName,ProjectOrg,Project,Task,Category,BaseCostElement,CostElement,CustomVendor,Person,SecureDocumentType,SecureDocumentNumber,ItemDate,Quantity,BillingCurrency,Rate,DebitInBillingCurrency,CreditInBillingCurrency,ExtractDate
0000000268,8/31/2020,Y,10.06.13,Acc Dep - Furn & Equip,MYCO,Myco,CUST-1-DOD,FIXED-ASSETS,2. Asset Tags # 100025-100030_6 Dell Latitude Lapt,6 Dell Latitude Laptops,,,,,,,2/1/2018,,USD,,0.00,83.33,
0000000268,8/31/2020,Y,80.03.02,Depreciation Exp,MYCO,Myco,CUST-1-DOD,FIXED-ASSETS,2. Asset Tags # 100025-100030_6 Dell Latitude Lapt,6 Dell Latitude Laptops,,,,,,,2/1/2018,,USD,,83.33,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/2/2020,2.00,USD,165.1,330.20,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/5/2020,8.00,USD,165.1,1320.80,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/9/2020,10.00,USD,165.1,1651.00,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/13/2020,10.00,USD,165.1,1651.00,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/14/2020,2.00,USD,165.1,330.20,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/18/2020,2.00,USD,165.1,330.20,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/20/2020,8.00,USD,165.1,1320.80,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/24/2020,10.00,USD,165.1,1651.00,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/28/2020,10.00,USD,165.1,1651.00,0.00,
0000000273,8/31/2020,Y,10.03.01,Unbilled,MYCO,Myco,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,1. Brand Strategy,*Systems Engineer,Direct Labor,,,"User5, Clark A.",TS,,8/29/2020,2.00,USD,165.1,330.20,0.00,
