ProjectOwningOrg,ProjectOrg,Project,BillType,BillingStatus,Task,Category,DocType,DocumentNumber/ExpenseReportNumber,CostElement,Person,Vendor/Customer,ItemDate,Quantity,InvoiceNumber,JournalDate,BillingCurrency,AmountInBillingCurrency
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/2/2020,,UNANET-01106,8/31/2020,USD,26.78
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/2/2020,,UNANET-01106,8/31/2020,USD,112.14
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/2/2020,,UNANET-01106,8/31/2020,USD,48.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/2/2020,,UNANET-01106,8/31/2020,USD,28.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/2/2020,10,UNANET-01106,8/31/2020,USD,334.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/5/2020,,UNANET-01106,8/31/2020,USD,26.78
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/5/2020,,UNANET-01106,8/31/2020,USD,112.14
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/5/2020,,UNANET-01106,8/31/2020,USD,48.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/5/2020,,UNANET-01106,8/31/2020,USD,28.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/5/2020,10,UNANET-01106,8/31/2020,USD,334.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/10/2020,,UNANET-01106,8/31/2020,USD,26.78
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/10/2020,,UNANET-01106,8/31/2020,USD,112.14
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/10/2020,,UNANET-01106,8/31/2020,USD,48.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/10/2020,,UNANET-01106,8/31/2020,USD,28.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/10/2020,10,UNANET-01106,8/31/2020,USD,334.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/13/2020,,UNANET-01106,8/31/2020,USD,26.78
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/13/2020,,UNANET-01106,8/31/2020,USD,112.14
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/13/2020,,UNANET-01106,8/31/2020,USD,48.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/13/2020,,UNANET-01106,8/31/2020,USD,28.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/13/2020,10,UNANET-01106,8/31/2020,USD,334.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/17/2020,,UNANET-01106,8/31/2020,USD,25.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/17/2020,,UNANET-01106,8/31/2020,USD,106.80
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/17/2020,,UNANET-01106,8/31/2020,USD,46.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/17/2020,,UNANET-01106,8/31/2020,USD,27.24
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/17/2020,10,UNANET-01106,8/31/2020,USD,318.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/21/2020,,UNANET-01106,8/31/2020,USD,25.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/21/2020,,UNANET-01106,8/31/2020,USD,106.80
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/21/2020,,UNANET-01106,8/31/2020,USD,46.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/21/2020,,UNANET-01106,8/31/2020,USD,27.24
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/21/2020,10,UNANET-01106,8/31/2020,USD,318.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/25/2020,,UNANET-01106,8/31/2020,USD,25.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/25/2020,,UNANET-01106,8/31/2020,USD,106.80
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/25/2020,,UNANET-01106,8/31/2020,USD,46.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/25/2020,,UNANET-01106,8/31/2020,USD,27.24
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/25/2020,10,UNANET-01106,8/31/2020,USD,318.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,8/29/2020,,UNANET-01106,8/31/2020,USD,25.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,8/29/2020,,UNANET-01106,8/31/2020,USD,106.80
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,8/29/2020,,UNANET-01106,8/31/2020,USD,46.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,8/29/2020,,UNANET-01106,8/31/2020,USD,27.24
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,8/29/2020,10,UNANET-01106,8/31/2020,USD,318.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,8/1/2020,,UNANET-01106,8/31/2020,USD,30.43
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,8/1/2020,,UNANET-01106,8/31/2020,USD,127.42
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,8/1/2020,,UNANET-01106,8/31/2020,USD,71.48
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,8/1/2020,,UNANET-01106,8/31/2020,USD,192.96
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,8/1/2020,8,UNANET-01106,8/31/2020,USD,380.37
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,8/15/2020,,UNANET-01106,8/31/2020,USD,30.43
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,8/15/2020,,UNANET-01106,8/31/2020,USD,127.42
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,8/15/2020,,UNANET-01106,8/31/2020,USD,71.48
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,8/15/2020,,UNANET-01106,8/31/2020,USD,192.96
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,8/15/2020,8,UNANET-01106,8/31/2020,USD,380.37
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,8/17/2020,,UNANET-01106,8/31/2020,USD,28.83
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,8/17/2020,,UNANET-01106,8/31/2020,USD,120.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,8/17/2020,,UNANET-01106,8/31/2020,USD,67.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,8/17/2020,,UNANET-01106,8/31/2020,USD,182.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,8/17/2020,8,UNANET-01106,8/31/2020,USD,360.35
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,8/31/2020,,UNANET-01106,8/31/2020,USD,28.83
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,8/31/2020,,UNANET-01106,8/31/2020,USD,120.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,8/31/2020,,UNANET-01106,8/31/2020,USD,67.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,8/31/2020,,UNANET-01106,8/31/2020,USD,182.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,8/31/2020,8,UNANET-01106,8/31/2020,USD,360.35
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,510,Expense reports,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,500.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,510,Fee on Total ODC,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,15.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,510,G&A,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,51.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,511,Expense reports,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,450.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,511,Fee on Total ODC,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,13.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Airfare,ER,511,G&A,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,45.90
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,505,Expense reports,"Controller, Frank T.",,8/9/2020,,UNANET-01106,8/31/2020,USD,67.22
