ProjectOwningOrg,ProjectOrg,Project,BillType,BillingStatus,Task,Category,DocType,DocumentNumber/ExpenseReportNumber,CostElement,Person,Vendor/Customer,ItemDate,Quantity,InvoiceNumber,JournalDate,BillingCurrency,AmountInBillingCurrency
MYCO,CUST-1-DOD,FIXED-ASSETS,FP,Deferred,2. Asset Tags # 100025-100030_6 Dell Latitude Lapt,6 Dell Latitude Laptops,,,,,,2/1/2018,,,9/30/2020,USD,-83.33
MYCO,CUST-1-DOD,FIXED-ASSETS,FP,Recognized,2. Asset Tags # 100025-100030_6 Dell Latitude Lapt,6 Dell Latitude Laptops,,,,,,2/1/2018,,,9/30/2020,USD,83.33
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,-25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,-108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,-46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/2/2020,,,9/30/2020,USD,-27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/2/2020,10,,9/30/2020,USD,322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/2/2020,10,,9/30/2020,USD,-322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,-25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,-108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,-46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/6/2020,,,9/30/2020,USD,-27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/6/2020,10,,9/30/2020,USD,322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/6/2020,10,,9/30/2020,USD,-322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,-25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,-108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,-46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/10/2020,,,9/30/2020,USD,-27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/10/2020,10,,9/30/2020,USD,322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/10/2020,10,,9/30/2020,USD,-322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,-25.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,-108.09
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,-46.75
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/14/2020,,,9/30/2020,USD,-27.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/14/2020,10,,9/30/2020,USD,322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/14/2020,10,,9/30/2020,USD,-322.65
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,69.11
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,-69.11
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,289.40
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,-289.40
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,125.16
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,-125.16
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,73.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/22/2020,,,9/30/2020,USD,-73.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/22/2020,10,,9/30/2020,USD,863.87
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/22/2020,10,,9/30/2020,USD,-863.87
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,69.11
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fee on Total Labor,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,-69.11
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,289.40
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Fringe Client Site,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,-289.40
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,125.16
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,G&A,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,-125.16
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,73.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Overhead Client Site.,"User5, Clark A.",,9/30/2020,,,9/30/2020,USD,-73.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/30/2020,10,,9/30/2020,USD,863.87
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,*Systems Engineer,TS,,Direct Labor,"User5, Clark A.",,9/30/2020,10,,9/30/2020,USD,-863.87
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,30.43
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,-30.43
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,127.42
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,-127.42
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,71.48
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,-71.48
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,192.96
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,9/2/2020,,,9/30/2020,USD,-192.96
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,9/2/2020,8,,9/30/2020,USD,380.37
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,9/2/2020,8,,9/30/2020,USD,-380.37
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,48.69
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fee on Total Labor,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,-48.69
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,203.88
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Fringe Company Site,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,-203.88
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,114.36
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,G&A,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,-114.36
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,308.74
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Overhead Company Site,"Director, Chris S.",,9/18/2020,,,9/30/2020,USD,-308.74
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,9/18/2020,8,,9/30/2020,USD,608.59
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,01020 - ADMIN ASSISTAN,TS,,Direct Labor,"Director, Chris S.",,9/18/2020,8,,9/30/2020,USD,-608.59
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,500.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-500.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,15.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-15.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,51.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,521,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-51.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,450.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-450.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,13.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-13.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,45.90
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Airfare,ER,522,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-45.90
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,Expense reports,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,67.22
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,Expense reports,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,-67.22
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,Fee on Total ODC,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,2.02
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,Fee on Total ODC,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,-2.02
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,G&A,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,6.86
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,513,G&A,"Controller, Frank T.",,9/9/2020,,,9/30/2020,USD,-6.86
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,2.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-2.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,0.06
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,Fee on Total ODC,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-0.06
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,0.20
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Business Meals,ER,522,G&A,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-0.20
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,Expense reports,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,273.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,Expense reports,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,-273.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,Fee on Total ODC,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,8.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,Fee on Total ODC,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,-8.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,G&A,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,27.85
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Over Per Diem,ER,521,G&A,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,-27.85
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,Expense reports,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,"1,092.00"
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,Expense reports,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,"-1,092.00"
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,Fee on Total ODC,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,32.76
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,Fee on Total ODC,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,-32.76
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,G&A,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,111.38
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Lodging Per Diem,ER,521,G&A,"User4, Charlie",,9/10/2020,,,9/30/2020,USD,-111.38
