DocumentNumber,JournalDate,PostedToGL,AccountCode,AccountDescription,OrgCode,OrgName,ProjectOrg,Project,Task,Category,BaseCostElement,CostElement,CustomVendor,Person,SecureDocumentType,SecureDocumentNumber,ItemDate,Quantity,BillingCurrency,Rate,DebitInBillingCurrency,CreditInBillingCurrency,ExtractDate
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/2/2020,10.00,USD,33.47501,334.75,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/5/2020,10.00,USD,33.47501,334.75,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/10/2020,10.00,USD,33.47501,334.75,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/13/2020,10.00,USD,33.47501,334.75,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/17/2020,10.00,USD,31.88096,318.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/21/2020,10.00,USD,31.88096,318.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/25/2020,10.00,USD,31.88096,318.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Direct Labor,,"User5, Clark A.",,,8/29/2020,10.00,USD,31.88096,318.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/2/2020,,USD,,26.78,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/5/2020,,USD,,26.78,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/10/2020,,USD,,26.78,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/13/2020,,USD,,26.78,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/17/2020,,USD,,25.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/21/2020,,USD,,25.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/25/2020,,USD,,25.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fee on Total Labor,,"User5, Clark A.",,,8/29/2020,,USD,,25.50,0.00,
