OrgCode,OrgName,AccountType,AccountCode,AccountDesc,PostedDate,Source,DocumentType,DocumentNumber,DocumentDate,FiscalPeriod,Description,CustomerCode,CustomerName,PersonName,Reference,ProjectOrgCode,ProjectCode,ProjectTitle,Quantity,BeginningBalanceLC,DebitLC,CreditLC,EndingBalanceLC,AccountTypeOrderBy,ArrangeBy,LocalCurrency
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,,,,,,,Beginning Balance,,,,,,,,,18087762.18,,,18087762.18,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,CP,Customer Payment,0000000101,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,,,,,0.00,438310.02,0.00,438310.02,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,,,,,0.00,298037.14,0.00,298037.14,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,CP,Customer Payment,0000000103,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,,,,,0.00,100000.00,0.00,100000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,CP,Customer Payment,0000000104,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,,,,,0.00,70000.00,0.00,70000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,JE,Journal Entry,0000000163,9/30/2020,FY20-12,,,,,Payroll Entry,,,,,0.00,0.00,100660.89,-100660.89,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,JE,Journal Entry,0000000164,9/30/2020,FY20-12,,,,,Payroll Entry,,,,,0.00,0.00,70680.19,-70680.19,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000286,9/30/2020,FY20-12,,E-CUSER4,Charlie User,,,,,,,0.00,0.00,1719.00,-1719.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000287,9/30/2020,FY20-12,,E-FCONTROLLER,Frank Controller,,,,,,,0.00,0.00,519.72,-519.72,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000288,9/30/2020,FY20-12,,V-CIGNA,Cigna Healthcare,,,,,,,0.00,0.00,2700.00,-2700.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000289,9/30/2020,FY20-12,,V-DUN&BRADSTREET,Dun & Bradstreet Credibility Corp,,,,,,,0.00,0.00,150.00,-150.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000290,9/30/2020,FY20-12,,V-HIRENOW,Hire Now,,,,,,,0.00,0.00,15500.00,-15500.00,1,MYCO - Myco,USD
